name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
Intestinal-type sinonasal adenocarcinoma,"Head, neck and thorax",,ITAC,"Occupational exposure to hardwood dust and leather (tanning) dust is the established cause, with these tumors classically arising in woodworkers and leather workers after long latency.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Intraductal carcinoma,"Head, neck and thorax",NCOA4-RET,low-grade cribriform cystadenocarcinoma; IDC,"Cause not established; a rare sporadic salivary gland carcinoma with no known environmental, infectious, or inherited cause.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Large cell neuroendocrine carcinoma of the lung,"Head, neck and thorax",RB1,LCNEC,"Tobacco smoking is the established main cause, as for other high-grade pulmonary neuroendocrine carcinomas.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Laryngeal neuroendocrine carcinoma,"Head, neck and thorax",,laryngeal small cell carcinoma; laryngeal large cell neuroendocrine carcinoma,"Tobacco smoking is a recognized risk factor for laryngeal neuroendocrine carcinomas, consistent with other smoking-related aerodigestive neuroendocrine tumors; otherwise many cases have no established cause.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Lymphoepithelial carcinoma,"Head, neck and thorax",EBV,lymphoepithelial carcinoma of salivary gland,"Strongly associated with Epstein-Barr virus, particularly in endemic populations (for example southern Chinese and Inuit), where the virus is present in a clonal form within the tumor cells and is implicated in oncogenesis.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Mesothelioma of the tunica vaginalis,"Head, neck and thorax",,testicular mesothelioma; paratesticular mesothelioma,"Asbestos exposure is implicated in a subset, and prior scrotal trauma, hydrocele, or hernia have been proposed as predisposing conditions, but many cases have no established cause.",no,"WHO Classification of Urinary and Male Genital Tumours, 5th ed. (2022)"
Metaplastic thymoma,"Head, neck and thorax",YAP1-MAML2,biphasic thymoma,Cause not established; a rare sporadic biphasic thymoma (recurrent YAP1::MAML2 fusion) with no known environmental or inherited cause.,no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Micronodular thymoma with lymphoid stroma,"Head, neck and thorax",,MNT,Cause not established; a rare sporadic thymoma variant with no known environmental or inherited cause.,no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Microsecretory adenocarcinoma,"Head, neck and thorax",MEF2C-SS18,MSA,Cause not established; a recently described rare sporadic salivary gland carcinoma (MEF2C::SS18 fusion) with no known environmental or inherited cause.,no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Middle ear adenocarcinoma,"Head, neck and thorax",,aggressive papillary tumor of middle ear (obsolete),"Cause not established; a very rare sporadic tumor of the middle ear with no known environmental, infectious, or inherited cause.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Middle ear squamous cell carcinoma,"Head, neck and thorax",,temporal bone squamous cell carcinoma; external auditory canal squamous cell carcinoma,Chronic long-standing suppurative otitis media and inflammation are the main recognized predisposing conditions; prior radiation to the region is an additional risk factor.,yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Mucinous adenocarcinoma,"Head, neck and thorax",AKT1,salivary mucinous adenocarcinoma,Cause not established; salivary mucinous adenocarcinoma is a rare sporadic tumor (recurrent AKT1 mutations described) with no known environmental or inherited etiologic factor.,no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Mucoepidermoid carcinoma,"Head, neck and thorax",CRTC1-MAML2,MEC,Mostly sporadic; prior ionizing radiation exposure to the head and neck (for example therapeutic radiotherapy or atomic bomb survivors) is the main established risk factor for this salivary gland carcinoma.,yes,
Myoepithelial carcinoma,"Head, neck and thorax",PLAG1,malignant myoepithelioma,"Cause not established; sporadic, arising de novo or from a preexisting pleomorphic adenoma or myoepithelioma, with no known environmental or inherited cause.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Nasopharyngeal carcinoma,"Head, neck and thorax",Epstein-Barr virus,NPC; keratinizing squamous cell carcinoma of nasopharynx; nonkeratinizing nasopharyngeal carcinoma; basaloid squamous cell carcinoma of nasopharynx,"Epstein-Barr virus infection is the central causal agent, acting together with dietary salt-preserved fish, tobacco smoking, inherited HLA class I susceptibility, and family history, which together produce its distinctive geographic distribution.",yes,
Non-intestinal-type sinonasal adenocarcinoma,"Head, neck and thorax",ETV6-NTRK3,non-ITAC,"Cause largely not established; most cases are sporadic, though some sinonasal adenocarcinomas are linked to wood dust and other occupational inhalant exposures.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
NUT carcinoma,"Head, neck and thorax",NUTM1,NUT midline carcinoma; nuclear protein in testis carcinoma,"Cause not established; NUT carcinoma arises from a sporadic somatic NUTM1 rearrangement (usually BRD4::NUTM1) with no known environmental, lifestyle, or inherited risk factor.",no,
Pericardial mesothelioma,"Head, neck and thorax",,malignant pericardial mesothelioma,Largely sporadic and its link to asbestos is weaker than for pleural mesothelioma; asbestos exposure and prior radiation are possible risk factors but a cause is often not established in individual cases.,no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Peritoneal mesothelioma,"Head, neck and thorax",BAP1,malignant peritoneal mesothelioma,"Asbestos exposure is the principal established cause; erionite exposure and prior therapeutic radiation are additional recognized risk factors, and germline BAP1 mutation predisposes to mesothelioma.",yes,
Pleuropulmonary blastoma,"Head, neck and thorax",DICER1,PPB,"Frequently caused by an inherited DICER1 germline mutation (DICER1 tumor predisposition syndrome, autosomal dominant), with a second somatic DICER1 hit; a subset is sporadic.",yes,
Polymorphous adenocarcinoma,"Head, neck and thorax",PRKD1,polymorphous low-grade adenocarcinoma; PLGA; PAC,"Cause not established; this minor salivary gland carcinoma is sporadic with no known environmental, infectious, or inherited etiology.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Pulmonary adenoid cystic carcinoma,"Head, neck and thorax",MYB-NFIB,salivary gland-type adenoid cystic carcinoma of lung,"Cause not established; this tracheobronchial salivary-type carcinoma is sporadic and not clearly related to smoking, with no known environmental or inherited cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary atypical carcinoid,"Head, neck and thorax",MEN1,atypical carcinoid tumor of lung; intermediate-grade pulmonary neuroendocrine tumor,"Largely sporadic; a minority are associated with inherited MEN1 syndrome, and unlike typical carcinoid there is some association with tobacco smoking.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary blastoma,"Head, neck and thorax",CTNNB1,classic biphasic pulmonary blastoma,"Cause not established; a rare biphasic lung tumor that is largely sporadic, though tobacco smoking has been reported in some patients, with no proven inherited cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary carcinosarcoma,"Head, neck and thorax",,carcinosarcoma of lung,"Tobacco smoking is the established main risk factor, consistent with its biphasic non-small cell lung carcinoma nature.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary epithelial-myoepithelial carcinoma,"Head, neck and thorax",,salivary gland-type epithelial-myoepithelial carcinoma of lung,Cause not established; a very rare sporadic bronchial salivary-type carcinoma with no known environmental or inherited cause.,no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary hyalinizing clear cell carcinoma,"Head, neck and thorax",EWSR1-ATF1,salivary gland-type hyalinizing clear cell carcinoma of lung,Cause not established; a rare sporadic salivary-type lung carcinoma (EWSR1::ATF1 fusion) with no known environmental or inherited cause.,no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary lymphoepithelial carcinoma,"Head, neck and thorax",EBV,lymphoepithelioma-like carcinoma of lung,"Strongly associated with Epstein-Barr virus in Asian patients, where over 90 percent of cases carry EBV within the tumor cells; in Western populations the EBV association is much weaker.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary mucoepidermoid carcinoma,"Head, neck and thorax",CRTC1-MAML2,salivary gland-type mucoepidermoid carcinoma of lung,"Cause not established; this bronchial salivary-type carcinoma is sporadic and not clearly linked to smoking, with no known inherited or environmental cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary NUT carcinoma,"Head, neck and thorax",NUTM1-BRD4,thoracic NUT carcinoma,"Cause not established; arises from a sporadic somatic NUTM1 rearrangement with no known environmental, lifestyle, or inherited risk factor and no consistent link to smoking.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary sarcomatoid carcinoma,"Head, neck and thorax",KRAS,pleomorphic carcinoma of lung; spindle cell carcinoma of lung; giant cell carcinoma of lung,"Tobacco smoking is the established main risk factor, as for other non-small cell lung carcinomas; asbestos exposure has also been reported.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Pulmonary typical carcinoid,"Head, neck and thorax",MEN1,typical carcinoid tumor of lung; low-grade pulmonary neuroendocrine tumor,"Largely sporadic and not clearly related to smoking; a minority arise in inherited multiple endocrine neoplasia type 1 (MEN1), an established predisposing syndrome, or in diffuse idiopathic pulmonary neuroendocrine cell hyperplasia.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Respiratory epithelial adenomatoid hamartoma-associated adenocarcinoma,"Head, neck and thorax",,sinonasal low-grade papillary adenocarcinoma,"Arises in association with a preexisting respiratory epithelial adenomatoid hamartoma, which serves as a precursor lesion; the underlying cause of the hamartoma itself is not established.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Salivary carcinosarcoma,"Head, neck and thorax",PLAG1,carcinosarcoma ex pleomorphic adenoma; true malignant mixed tumor,Cause not established; usually arises from a preexisting pleomorphic adenoma (true malignant mixed tumor) but is otherwise sporadic with no known environmental or inherited cause.,no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Salivary duct carcinoma,"Head, neck and thorax",HER2/ERBB2,SDC,"Cause not established; largely sporadic, arising de novo or from carcinoma ex pleomorphic adenoma, with prior head and neck radiation a possible minor risk factor.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Sclerosing microcystic adenocarcinoma,"Head, neck and thorax",,SMA,Cause not established; a very rare sporadic salivary gland carcinoma with no known environmental or inherited etiology.,no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Secretory carcinoma,"Head, neck and thorax",ETV6-NTRK3,mammary analogue secretory carcinoma; MASC,"Cause not established; this salivary and skin tumor is sporadic and defined by an ETV6::NTRK3 fusion, with no known environmental or inherited etiologic factor.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Sialoblastoma,"Head, neck and thorax",,,"Cause not established; a rare congenital or perinatal salivary gland tumor of presumed embryonal origin, sporadic, with no proven inherited or environmental cause.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Sinonasal neuroendocrine carcinoma,"Head, neck and thorax",,sinonasal small cell carcinoma; sinonasal large cell neuroendocrine carcinoma,"Cause not established; a rare sporadic sinonasal carcinoma with no proven environmental, infectious, or inherited etiologic factor.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Sinonasal teratocarcinosarcoma,"Head, neck and thorax",SMARCA4,TCS,"Cause not established; a rare aggressive sinonasal tumor of mixed epithelial, mesenchymal, and neuroepithelial elements that is sporadic with no known environmental or inherited cause.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Sinonasal undifferentiated carcinoma,"Head, neck and thorax",IDH2,SNUC,"Cause largely not established; most cases are sporadic, though occupational exposures such as wood dust and nickel are implicated in sinonasal cancers broadly and a subset is IDH2-mutant.",no,
SMARCA4-deficient sinonasal carcinoma,"Head, neck and thorax",SMARCA4,BRG1-deficient sinonasal carcinoma,"Cause not established; a sporadic sinonasal carcinoma defined by somatic SMARCA4 (BRG1) loss, with no known environmental or inherited etiologic factor.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
SMARCB1-deficient sinonasal carcinoma,"Head, neck and thorax",SMARCB1,INI1-deficient sinonasal carcinoma,"Cause not established; a sporadic sinonasal carcinoma defined by somatic biallelic SMARCB1 (INI1) inactivation, with no known environmental, infectious, or inherited etiologic factor.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Spindle cell squamous cell carcinoma of the larynx,"Head, neck and thorax",,sarcomatoid carcinoma of larynx; spindle cell carcinoma,"Tobacco smoking and alcohol use are the established risk factors, shared with conventional laryngeal squamous cell carcinoma; prior radiation is an additional risk factor.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Squamous cell carcinoma of salivary gland,"Head, neck and thorax",,primary salivary squamous cell carcinoma,"Primary salivary squamous cell carcinoma is rare and largely sporadic; prior head and neck radiation is a recognized risk factor, and metastasis or extension of cutaneous squamous cell carcinoma must be excluded.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Thymic carcinoma,"Head, neck and thorax",KIT,thymic squamous cell carcinoma; type C thymoma (obsolete),"Cause not established; thymic carcinoma is sporadic with no proven environmental, infectious, or inherited etiology, although a minority of EBV-associated lymphoepithelial subtypes occur.",no,
Thymic neuroendocrine tumor,"Head, neck and thorax",MEN1,thymic carcinoid; thymic atypical carcinoid; thymic neuroendocrine carcinoma,"Mostly sporadic; a substantial minority arise in the setting of inherited multiple endocrine neoplasia type 1 (MEN1), which is an established predisposing syndrome, and there is an association with tobacco smoking.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Thymoma,"Head, neck and thorax",GTF2I,spindle cell thymoma; medullary thymoma,"Cause not established; most thymomas are sporadic with no known environmental or inherited cause. They are strongly associated with autoimmune paraneoplastic conditions, most notably myasthenia gravis, but that association is not itself an established cause.",no,
Thymoma type AB,"Head, neck and thorax",GTF2I,mixed thymoma,"Cause not established; like other thymomas it is sporadic with no known environmental or inherited cause, though it may associate with paraneoplastic autoimmune disease.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Thymoma type B1,"Head, neck and thorax",,lymphocyte-rich thymoma; predominantly cortical thymoma,"Cause not established; sporadic with no known environmental or inherited cause, commonly associated with myasthenia gravis as a paraneoplastic association rather than a cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Thymoma type B2,"Head, neck and thorax",,cortical thymoma,"Cause not established; sporadic with no known environmental or inherited cause, frequently associated with myasthenia gravis as an association not a cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Thymoma type B3,"Head, neck and thorax",,epithelial thymoma; well-differentiated thymic carcinoma,"Cause not established; sporadic with no known environmental or inherited cause, often associated with myasthenia gravis as a paraneoplastic association.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Tracheal adenoid cystic carcinoma,"Head, neck and thorax",MYB-NFIB,primary tracheal adenoid cystic carcinoma,"Cause not established; this tracheal salivary-type carcinoma is sporadic and not related to smoking, with no known environmental or inherited cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Tracheal squamous cell carcinoma,"Head, neck and thorax",,primary tracheal carcinoma,"Tobacco smoking is the established main risk factor, shared with other aerodigestive squamous cell carcinomas.",yes,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Well-differentiated papillary mesothelial tumor,"Head, neck and thorax",,WDPMT; well-differentiated papillary mesothelioma (obsolete),"Cause not established; most are sporadic with an uncertain and generally weak relationship to asbestos, and no proven inherited cause.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
Acinar cell carcinoma of the pancreas,Digestive system,BCL10,Pancreatic acinar cell carcinoma,"Predominantly sporadic with no established cause; weak associations include tobacco smoking and rare occurrence within familial cancer syndromes (familial adenomatous polyposis, Lynch syndrome, Peutz-Jeghers), but for most cases the etiology is not established.",no,
Ampullary carcinoma,Digestive system,KRAS,Cancer of the ampulla of Vater; Carcinoma of the ampulla of Vater; Ampulla of Vater adenocarcinoma,"Most cases are sporadic and arise from precursor adenomas of the ampulla of Vater; the strongest predisposing condition is familial adenomatous polyposis (germline APC), which greatly increases risk of duodenal and ampullary adenomas and carcinoma, with Lynch syndrome as a lesser hereditary contributor.",yes,
Anal melanoma,Digestive system,KIT,Anorectal melanoma; Mucosal melanoma of the anus,"Rare mucosal melanoma of the anorectum; unlike cutaneous melanoma it is not linked to ultraviolet exposure, and no established environmental or hereditary cause has been identified, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System; NCI"
Appendiceal goblet cell adenocarcinoma,Digestive system,,Goblet cell carcinoid; GCA,"Rare appendiceal tumor with mixed goblet cell and adenocarcinomatous features; it is essentially sporadic with no established causal exposure or hereditary syndrome, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Appendiceal mucinous adenocarcinoma,Digestive system,KRAS,Mucinous adenocarcinoma of the appendix,"Sporadic invasive mucinous adenocarcinoma of the appendix, often KRAS/GNAS mutated; no established carcinogen, infection, or hereditary cause, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Appendiceal neuroendocrine tumor,Digestive system,CHGA,Appendiceal carcinoid; Appendiceal NET,"Usually an incidental sporadic tumor of the appendiceal tip; no established environmental cause and no consistent hereditary predisposition, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
BRAF-mutant gastrointestinal stromal tumor,Digestive system,BRAF,BRAF-mutant GIST,"A KIT/PDGFRA wild-type GIST driven by a somatic BRAF V600E mutation; sporadic with no established external or hereditary cause, and the mutation is a driver rather than an etiologic factor.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Colorectal mucinous adenocarcinoma,Digestive system,KRAS,Mucinous adenocarcinoma of the colon and rectum,"A colorectal adenocarcinoma subtype with abundant extracellular mucin; shares standard colorectal cancer risk factors and is enriched for microsatellite instability, so it is associated with mismatch repair deficiency and Lynch syndrome in addition to the general risk profile (inflammatory bowel disease, precursor adenomas).",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Colorectal neuroendocrine tumor,Digestive system,CHGA,Colonic NET; Rectal NET; Rectal carcinoid,"Well-differentiated neuroendocrine tumor of colon or rectum; usually sporadic and often found incidentally, with no established external cause or consistent hereditary predisposition, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Combined hepatocellular-cholangiocarcinoma,Digestive system,TP53,cHCC-CCA; Combined HCC-CCA,"A biphenotypic primary liver cancer that arises on the same backgrounds as hepatocellular carcinoma, notably cirrhosis from chronic hepatitis B or C infection, alcohol-related liver disease, and other chronic liver injury.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Distal cholangiocarcinoma,Digestive system,KRAS,dCCA; Distal bile duct carcinoma; Extrahepatic cholangiocarcinoma,"Shares biliary risk factors with other cholangiocarcinomas: primary sclerosing cholangitis, choledochal cysts, hepatolithiasis, chronic biliary inflammation, and liver fluke infection (Opisthorchis viverrini, Clonorchis sinensis) in endemic areas.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Duodenal gangliocytic paraganglioma,Digestive system,,Gangliocytic paraganglioma,"Rare tumor of the periampullary duodenum of uncertain histogenesis; overwhelmingly sporadic with no established cause, though a minority occur in patients with neurofibromatosis type 1, and for most cases the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Esophageal adenoid cystic carcinoma,Digestive system,MYB,Adenoid cystic carcinoma of the esophagus,"Extremely rare tumor arising from esophageal submucosal glands; no established risk factor, carcinogen, or predisposing condition has been identified and the cause is genuinely unknown.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Esophageal small cell neuroendocrine carcinoma,Digestive system,TP53,Small cell carcinoma of the esophagus; Esophageal SCNEC,"Rare and aggressive; shares risk factors with esophageal squamous cell carcinoma including tobacco smoking and heavy alcohol use, though the specific etiology of the neuroendocrine phenotype is not well established.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Esophageal undifferentiated carcinoma,Digestive system,,Undifferentiated carcinoma of the esophagus,"A rare high-grade esophageal carcinoma; it is presumed to share the major esophageal carcinogenic exposures (tobacco, alcohol for squamous-type; reflux/Barrett esophagus for glandular-type), but a specific established cause for the undifferentiated form is not defined.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Fibrolamellar hepatocellular carcinoma,Digestive system,DNAJB1-PRKACA,Fibrolamellar carcinoma; FLC; FL-HCC,"Occurs in adolescents and young adults without cirrhosis or underlying liver disease; it is defined by a somatic DNAJB1-PRKACA fusion but has no established etiologic risk factor, virus, or predisposing exposure, so the cause is genuinely unknown.",no,
Gallbladder carcinoma,Digestive system,TP53,Carcinoma of the gallbladder; Gallbladder adenocarcinoma,"Strongly caused by chronic gallbladder inflammation, most often from gallstones (cholelithiasis) and chronic cholecystitis; other risk factors include porcelain gallbladder, gallbladder polyps, chronic Salmonella typhi carriage, and anomalous pancreaticobiliary junction.",yes,"WHO Classification of Tumours 5th ed, Digestive System; RARECAREnet"
Gastrinoma,Digestive system,MEN1,Gastrin-producing neuroendocrine tumor; Zollinger-Ellison syndrome tumor,"Gastrin-secreting neuroendocrine tumor of the pancreas or duodenum; roughly a quarter arise in multiple endocrine neoplasia type 1 (MEN1), which is an established hereditary cause, while the remaining sporadic tumors have no established external cause.",yes,"WHO Classification of Tumours 5th ed, Digestive System; Orphanet"
Gastroenteropancreatic neuroendocrine carcinoma,Digestive system,TP53,GEP-NEC; Poorly differentiated neuroendocrine carcinoma; Small cell neuroendocrine carcinoma; Large cell neuroendocrine carcinoma,"High-grade neuroendocrine carcinoma of the GI tract or pancreas; predominantly sporadic with no established external cause, and unlike well-differentiated tumors it is rarely syndrome-associated, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Gastrointestinal stromal tumor,Digestive system,KIT,GIST,"Most are sporadic and driven by somatic KIT or PDGFRA mutations with no external cause, but predisposing conditions exist: neurofibromatosis type 1, Carney triad, Carney-Stratakis syndrome, and rare familial germline KIT/PDGFRA mutations all increase risk.",yes,
Glucagonoma,Digestive system,GCG,Glucagon-producing neuroendocrine tumor,"Rare glucagon-secreting pancreatic neuroendocrine tumor; usually sporadic with no established external cause, occasionally associated with multiple endocrine neoplasia type 1 (MEN1).",no,"WHO Classification of Tumours 5th ed, Digestive System; Orphanet"
Hepatoblastoma,Digestive system,CTNNB1,HB,"The most common pediatric liver cancer, strongly associated with hereditary syndromes including Beckwith-Wiedemann syndrome and familial adenomatous polyposis (germline APC), and with prematurity and very low birth weight; most sporadic cases have activating CTNNB1 (beta-catenin) mutations.",yes,
Hepatoid adenocarcinoma of the stomach,Digestive system,AFP,Gastric hepatoid adenocarcinoma; HAS,"A rare alpha-fetoprotein producing gastric adenocarcinoma variant; it shares the general risk profile of gastric cancer (Helicobacter pylori infection, chronic atrophic gastritis) but no cause specific to the hepatoid phenotype is established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
High-grade appendiceal mucinous neoplasm,Digestive system,KRAS,HAMN,Sporadic high-grade mucinous neoplasm of the appendix; like its low-grade counterpart it has no established external cause or hereditary predisposition and the etiology is not established.,no,"WHO Classification of Tumours 5th ed, Digestive System"
Insulinoma,Digestive system,YY1,Insulin-producing pancreatic neuroendocrine tumor; insulin-producing neuroendocrine tumor,"Usually a sporadic pancreatic neuroendocrine tumor with no established external cause, but about 5 to 10 percent occur in multiple endocrine neoplasia type 1 (MEN1); the sporadic cases are considered idiopathic.",no,"WHO Classification of Tumours 5th ed, Digestive System; Orphanet"
Intraductal papillary mucinous neoplasm with associated invasive carcinoma,Digestive system,GNAS,Invasive IPMN; IPMN-associated carcinoma,"Invasive carcinoma arising from an intraductal papillary mucinous neoplasm, a defined precursor lesion of the pancreatic ducts; IPMNs are largely sporadic (KRAS/GNAS driven) but risk is increased in familial pancreatic cancer settings such as Peutz-Jeghers syndrome, with the precursor lesion itself being the established route to invasion.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Low-grade appendiceal mucinous neoplasm,Digestive system,KRAS,LAMN,"Sporadic mucinous epithelial neoplasm of the appendix commonly harboring KRAS/GNAS mutations; no established environmental cause, infectious agent, or hereditary predisposition, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Medullary carcinoma of the colon,Digestive system,MLH1,Colorectal medullary carcinoma,"Characteristically a microsatellite instability high tumor caused by mismatch repair deficiency, most often sporadic MLH1 promoter hypermethylation (frequently with BRAF V600E), and a minority due to inherited Lynch syndrome; the MMR-deficient hypermutated pathway is the established basis.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Mixed neuroendocrine-non-neuroendocrine neoplasm,Digestive system,,MiNEN; Mixed adenoneuroendocrine carcinoma; MANEC,"A composite tumor combining neuroendocrine and non-neuroendocrine (usually adenocarcinoma) components; it is sporadic and thought to derive from a common precursor, with no established distinct etiologic cause.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Mucinous cystic neoplasm of the pancreas with associated invasive carcinoma,Digestive system,KRAS,Invasive mucinous cystic neoplasm; MCN-associated carcinoma,"Invasive carcinoma arising from a mucinous cystic neoplasm, a precursor lesion occurring almost exclusively in women and characterized by an ovarian-type stroma; the precursor cyst is the established route to invasion, but no external etiologic exposure is established for the neoplasm itself.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
